Altium Designer Pick and Place Locations
C:\Users\ahmed\Work\KLOR\PCB\Altuim\Project Outputs for Free Documents\Pick Place\Pick Place for klor1_4.txt

========================================================================================================================
File Design Information:

Date:       08/05/26
Time:       00:50
Revision:   7ed03786a12d1765f2e718eaf2a3af6acb86f19e
Variant:    No variations
Units used: mil

Designator Comment                Layer       Footprint                                                      Center-X(mil) Center-Y(mil) Rotation Description 
BT1        "JST Connector"        BottomLayer JST_PH_2PINS                                                   -38.189       1234.252      270      ""          
JP26       Device_Jumper_NO_Small BottomLayer SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm                555.118       -551.181      120      ""          
PSW1       SW_DPDT_x2             TopLayer    MSK12C02_REVERSIBLE                                            -6.645        2799.164      0        ""          
D23        D_Small                BottomLayer DIODE_SOD123                                                   -2437.008     2814.961      0        ""          
SW1        SW_PUSH-MX             BottomLayer CHERRY-CPG151101S11                                            1461.220      2601.575      180      ""          
SW2        SW_PUSH-MX             BottomLayer CHERRY-CPG151101S11                                            2209.252      2718.898      180      ""          
SW3        SW_PUSH-MX             BottomLayer CHERRY-CPG151101S11                                            2958.858      3072.441      180      ""          
SW4        SW_PUSH-MX             BottomLayer CHERRY-CPG151101S11                                            3827.565      2652.285      176      ""          
SW5        SW_PUSH-MX             BottomLayer CHERRY-CPG151101S11                                            4701.709      2062.197      170      ""          
SW6        SW_PUSH-MX             BottomLayer CHERRY-CPG151101S11                                            1461.144      1849.878      180      ""          
SW7        SW_PUSH-MX             BottomLayer CHERRY-CPG151101S11                                            2209.687      1966.207      180      ""          
SW8        SW_PUSH-MX             BottomLayer CHERRY-CPG151101S11                                            2958.323      2324.202      180      ""          
SW9        SW_PUSH-MX             BottomLayer CHERRY-CPG151101S11                                            3773.431      1902.679      176      ""          
SW10       SW_PUSH-MX             BottomLayer CHERRY-CPG151101S11                                            4570.885      1326.073      170      ""          
SW11       SW_PUSH-MX             BottomLayer CHERRY-CPG151101S11                                            5341.867      1389.756      170      ""          
SW12       SW_PUSH-MX             BottomLayer CHERRY-CPG151101S11                                            1460.474      1097.309      180      ""          
SW13       SW_PUSH-MX             BottomLayer CHERRY-CPG151101S11                                            2209.151      1217.472      180      ""          
SW14       SW_PUSH-MX             BottomLayer CHERRY-CPG151101S11                                            2958.323      1573.313      180      ""          
SW15       SW_PUSH-MX             BottomLayer CHERRY-CPG151101S11                                            3723.824      1153.466      176      ""          
SW16       SW_PUSH-MX             BottomLayer CHERRY-CPG151101S11                                            4441.473      583.457       170      ""          
SW17       SW_PUSH-MX             BottomLayer CHERRY-CPG151101S11                                            5212.733      649.599       170      ""          
SW19       SW_PUSH-MX             BottomLayer CHERRY-CPG151101S11                                            19.055        -618.134      225      ""          
SW20       SW_PUSH-MX             BottomLayer CHERRY-CPG151101S11                                            686.868       -90.797       210      ""          
SW21       SW_PUSH-MX             BottomLayer CHERRY-CPG151101S11                                            1469.836      238.701       195      ""          
SW23       SW_PUSH-MX             BottomLayer CHERRY-CPG151101S11                                            -2614.764     2601.575      180      ""          
SW22       SW_PUSH-MX             BottomLayer CHERRY-CPG151101S11                                            2324.783      350.964       180      ""          
SW24       SW_PUSH-MX             BottomLayer CHERRY-CPG151101S11                                            -3362.795     2718.898      180      ""          
SW25       SW_PUSH-MX             BottomLayer CHERRY-CPG151101S11                                            -4112.402     3072.441      180      ""          
