Altium Designer Pick and Place Locations
C:\Users\ahmed\Work\KLOR\PCB\Altuim\Project Outputs for klor1_4\Pick Place\Pick Place for klor1_4.csv

========================================================================================================================
File Design Information:

Date:       11/05/26
Time:       16:09
Revision:   43ca77032ed8828815a21d35339230112d09b4ba
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"SW40","SW_PUSH-MX","TopLayer","CHERRY-CPG151101S11","-7.392","-572.757","225",""
"SW41","SW_PUSH-MX","TopLayer","CHERRY-CPG151101S11","691.369","-40.121","210",""
"SW42","SW_PUSH-MX","TopLayer","CHERRY-CPG151101S11","1504.976","290.618","195",""
"SW43","SW_PUSH-MX","TopLayer","CHERRY-CPG151101S11","2377.010","400.459","180",""
"SW33","SW_PUSH-MX","TopLayer","CHERRY-CPG151101S11","5392.270","1462.151","170",""
"SW23","SW_PUSH-MX","TopLayer","CHERRY-CPG151101S11","1513.230","2650.065","180",""
"SW28","SW_PUSH-MX","TopLayer","CHERRY-CPG151101S11","1512.326","1899.878","180",""
"SW34","SW_PUSH-MX","TopLayer","CHERRY-CPG151101S11","1511.655","1147.309","180",""
"SW35","SW_PUSH-MX","TopLayer","CHERRY-CPG151101S11","2260.332","1267.472","180",""
"SW29","SW_PUSH-MX","TopLayer","CHERRY-CPG151101S11","2260.868","2016.207","180",""
"SW24","SW_PUSH-MX","TopLayer","CHERRY-CPG151101S11","2261.262","2767.388","180",""
"SW25","SW_PUSH-MX","TopLayer","CHERRY-CPG151101S11","3010.868","3120.931","180",""
"SW30","SW_PUSH-MX","TopLayer","CHERRY-CPG151101S11","3010.332","2372.693","180",""
"SW36","SW_PUSH-MX","TopLayer","CHERRY-CPG151101S11","3010.332","1621.803","180",""
"SW31","SW_PUSH-MX","TopLayer","CHERRY-CPG151101S11","3824.487","1962.806","176",""
"SW26","SW_PUSH-MX","TopLayer","CHERRY-CPG151101S11","3878.030","2710.050","176",""
"SW27","SW_PUSH-MX","TopLayer","CHERRY-CPG151101S11","4752.113","2134.592","170",""
"SW37","SW_PUSH-MX","TopLayer","CHERRY-CPG151101S11","3774.881","1213.594","176",""
"SW32","SW_PUSH-MX","TopLayer","CHERRY-CPG151101S11","4621.289","1398.468","170",""
"SW38","SW_PUSH-MX","TopLayer","CHERRY-CPG151101S11","4491.877","655.852","170",""
"SW39","SW_PUSH-MX","TopLayer","CHERRY-CPG151101S11","5263.137","721.994","170",""
"SW19","SW_PUSH-MX","TopLayer","CHERRY-CPG151101S11","-1058.780","-608.947","135",""
"SW20","SW_PUSH-MX","TopLayer","CHERRY-CPG151101S11","-1749.407","-65.711","150",""
"SW21","SW_PUSH-MX","TopLayer","CHERRY-CPG151101S11","-2557.901","277.976","165",""
"SW22","SW_PUSH-MX","TopLayer","CHERRY-CPG151101S11","-3427.145","400.964","180",""
"SW12","SW_PUSH-MX","TopLayer","CHERRY-CPG151101S11","-2562.836","1147.309","180",""
"SW13","SW_PUSH-MX","TopLayer","CHERRY-CPG151101S11","-3311.513","1267.472","180",""
"SW14","SW_PUSH-MX","TopLayer","CHERRY-CPG151101S11","-4060.685","1623.313","180",""
